Time,House_91,House_92,House_93,House_94,House_95,House_96,House_97,House_98,House_99,House_100
2013-01-01 01:00:00,0.259,0.053,0.314,0.533,2.006,0.533,0.162,0.11,0.063,0.211
2013-01-01 02:00:00,0.234,0.095,0.073,0.173,1.173,0.244,0.29,0.095,0.028,0.095
2013-01-01 03:00:00,0.234,0.081,0.096,0.209,1.199,0.233,0.115,0.111,0.047,0.151
2013-01-01 04:00:00,0.244,0.055,0.064,0.264,0.977,0.234,0.098,0.1,0.051,0.111
2013-01-01 05:00:00,0.23,0.059,0.088,0.187,0.526,0.239,0.106,0.099,0.022,0.091
2013-01-01 06:00:00,0.226,0.042,0.078,0.136,0.518,0.238,0.096,0.111,0.052,0.116
2013-01-01 07:00:00,0.227,0.059,0.077,0.216,0.549,0.252,0.095,0.09,0.217,0.117
2013-01-01 08:00:00,0.299,0.058,0.13,0.222,0.498,0.409,0.273,0.116,0.29,0.178
2013-01-01 09:00:00,0.25,0.059,0.363,0.147,0.394,0.416,0.817,0.092,0.357,0.308
2013-01-01 10:00:00,0.244,0.053,0.585,0.182,0.387,0.427,0.349,0.105,0.163,0.306
2013-01-01 11:00:00,0.231,0.064,0.992,1.721,0.893,0.575,0.235,0.1,0.09,0.357
2013-01-01 12:00:00,0.221,0.046,1.337,2.022,2.097,0.442,0.184,0.096,0.054,0.149
2013-01-01 13:00:00,0.234,0.03,1.078,0.848,1.171,0.215,0.123,0.114,0.194,0.285
2013-01-01 14:00:00,0.226,0.049,0.831,0.552,1.522,0.219,0.731,0.086,0.127,0.221
2013-01-01 15:00:00,0.211,0.063,0.887,0.627,1.493,0.217,2.3,0.104,0.118,0.078
2013-01-01 16:00:00,0.22,0.254,0.793,0.552,0.98,0.244,0.226,0.097,0.228,0.193
2013-01-01 17:00:00,0.223,0.138,0.789,0.838,1.124,1.693,0.275,0.087,0.097,0.245
2013-01-01 18:00:00,0.206,0.146,0.687,0.769,3.48,0.951,0.354,0.106,0.158,0.278
2013-01-01 19:00:00,0.28,0.052,0.921,0.861,3.772,1.04,0.253,0.086,0.381,0.272
2013-01-01 20:00:00,0.291,0.264,1.951,0.988,4.102,0.825,0.24,0.099,0.211,0.326
2013-01-01 21:00:00,0.286,0.769,1.542,0.989,3.01,0.827,0.252,0.1,0.25,0.279
2013-01-01 22:00:00,0.288,0.2,1.615,1.169,1.187,0.825,0.356,0.09,0.126,0.124
2013-01-01 23:00:00,0.309,0.17,2.373,0.796,0.826,0.704,0.109,0.106,0.036,0.213
2013-01-02 00:00:00,0.32,0.261,0.361,0.64,0.511,0.515,0.088,0.091,0.068,0.181
2013-01-02 01:00:00,0.247,0.288,0.092,0.356,0.379,0.519,0.103,0.099,0.042,0.152
2013-01-02 02:00:00,0.243,0.113,0.08,0.214,0.373,0.533,0.101,0.098,0.026,0.105
2013-01-02 03:00:00,0.243,0.036,0.082,0.118,0.369,0.531,0.088,0.097,0.05,0.127
2013-01-02 04:00:00,0.23,0.066,0.093,0.156,0.364,0.521,0.097,0.103,0.029,0.112
2013-01-02 05:00:00,0.241,0.055,0.068,0.114,0.392,0.457,0.099,0.09,0.04,0.103
2013-01-02 06:00:00,0.241,0.032,0.085,0.148,0.493,0.292,0.096,0.108,0.052,0.188
2013-01-02 07:00:00,0.216,0.07,0.183,0.282,0.512,0.533,0.213,0.086,0.207,0.221
2013-01-02 08:00:00,0.293,0.06,1.576,0.307,0.442,0.572,0.336,0.105,0.295,0.301
2013-01-02 09:00:00,0.253,0.041,0.845,0.163,1.229,0.655,0.158,0.084,0.171,0.208
2013-01-02 10:00:00,0.228,0.06,1.156,0.173,0.558,0.565,0.221,0.107,0.372,0.318
2013-01-02 11:00:00,0.215,0.064,1.983,0.339,0.563,0.555,0.103,0.553,0.228,0.166
2013-01-02 12:00:00,0.227,0.032,1.372,0.567,0.562,0.501,0.199,0.679,0.181,0.313
2013-01-02 13:00:00,0.289,0.06,0.624,0.782,0.754,0.527,0.097,0.656,0.148,0.167
2013-01-02 14:00:00,0.096,0.063,0.125,0.583,0.686,0.458,0.162,1.183,0.142,0.534
2013-01-02 15:00:00,0.091,0.062,0.082,0.513,0.477,0.599,0.1,0.408,0.288,0.164
2013-01-02 16:00:00,0.095,0.022,0.29,0.553,0.447,0.649,0.106,0.721,0.175,0.271
2013-01-02 17:00:00,0.172,0.064,0.684,0.744,0.481,0.817,0.198,0.925,0.122,0.614
2013-01-02 18:00:00,0.164,0.06,0.879,0.859,0.463,1.04,0.271,0.792,0.172,0.596
2013-01-02 19:00:00,0.175,1.333,1.016,2.015,3.204,0.885,0.976,0.728,0.22,0.426
2013-01-02 20:00:00,0.177,0.144,1.425,1.965,2.354,0.798,0.458,0.134,0.24,0.331
2013-01-02 21:00:00,0.172,0.139,0.99,1.251,2.032,0.817,0.389,0.155,0.305,0.659
2013-01-02 22:00:00,0.168,0.223,1.309,0.872,1.76,0.787,0.413,0.088,0.033,0.608
2013-01-02 23:00:00,0.179,0.237,0.399,0.827,1.707,0.559,0.168,0.089,0.069,0.128
2013-01-03 00:00:00,0.182,0.121,0.074,0.467,1.499,0.282,0.091,0.081,0.065,0.174
2013-01-03 01:00:00,0.116,0.147,0.116,0.208,0.394,0.27,0.101,0.099,0.02,0.13
2013-01-03 02:00:00,0.112,0.042,0.069,0.149,0.363,0.288,0.1,0.083,0.051,0.121
2013-01-03 03:00:00,0.114,0.05,0.122,0.172,0.372,0.283,0.098,0.092,0.04,0.143
2013-01-03 04:00:00,0.101,0.048,0.055,0.134,0.37,0.281,0.085,0.091,0.027,0.117
2013-01-03 05:00:00,0.108,0.06,0.098,0.123,0.492,0.27,0.099,0.081,0.052,0.11
