time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,precipAccumulation
2013-01-01 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,9.57,8.71,8.1,0.91,999.5,1.98,3.23,247.0,0.76,0.0,10.003,,
2013-01-01 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,9.38,8.47,7.9,0.91,999.7,2.0,3.69,251.0,0.75,0.0,9.944,,
2013-01-01 03:00:00,Drizzle,rain,0.1703,0.79,9.18,8.05,8.0,0.92,1000.1,2.23,3.41,265.0,0.75,0.0,9.884,rain,
2013-01-01 04:00:00,Light Rain,rain,0.5835,1.0,7.88,6.46,6.1,0.89,1000.9,2.3,3.26,289.0,0.75,0.0,10.003,rain,
2013-01-01 05:00:00,Drizzle,rain,0.1645,0.74,7.38,6.71,5.59,0.88,1001.5,1.46,2.79,275.0,0.42,0.0,10.003,rain,
2013-01-01 06:00:00,Clear,clear-night,0.0,0.0,6.37,5.07,4.6,0.88,1002.3,1.89,3.5,283.0,0.2,0.0,10.003,,
2013-01-01 07:00:00,Clear,clear-night,0.0,0.0,5.38,4.56,3.61,0.88,1003.3,1.36,2.53,276.0,0.0,0.0,9.999,,
2013-01-01 08:00:00,Clear,clear-night,0.0,0.0,5.08,3.94,3.29,0.88,1004.1,1.58,2.31,258.0,0.05,0.0,9.995,,
2013-01-01 09:00:00,Clear,clear-night,0.0,0.0,4.67,2.65,2.7,0.87,1005.1,2.33,2.47,265.0,0.0,0.0,9.989,,
2013-01-01 10:00:00,Clear,clear-day,0.0,0.0,4.58,3.27,2.59,0.87,1006.3,1.65,2.63,262.0,0.19,0.0,9.988,,
2013-01-01 11:00:00,Clear,clear-day,0.0,0.0,5.38,3.6,2.8,0.83,1007.3,2.22,3.08,264.0,0.19,0.0,9.988,,
2013-01-01 12:00:00,Clear,clear-day,0.0,0.0,6.01,3.83,2.9,0.8,1008.1,2.84,3.58,270.0,0.19,0.0,9.991,,
2013-01-01 13:00:00,Clear,clear-day,0.0,0.0,7.38,5.65,2.49,0.71,1008.4,2.6,3.89,279.0,0.19,1.0,10.003,,
2013-01-01 14:00:00,Clear,clear-day,0.0,0.0,7.47,5.65,3.2,0.74,1008.9,2.74,4.04,278.0,0.19,0.0,10.003,,
2013-01-01 15:00:00,Clear,clear-day,0.0,0.0,7.38,5.42,1.89,0.68,1009.7,2.92,4.49,281.0,0.27,0.0,10.003,,
2013-01-01 16:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,7.38,5.55,1.89,0.68,1010.2,2.73,4.54,273.0,0.36,0.0,10.003,,
